Feature,Day,Albumin,Cell,Coat,Cell Seeding,Co-Cell Seeding
scaffold-2,42,,8.0,-1.0,40.0,-1.0
scaffold-2,43,,8.0,-1.0,40.0,-1.0
scaffold-2,44,,8.0,-1.0,40.0,-1.0
scaffold-2,45,,8.0,-1.0,40.0,-1.0
scaffold-2,46,,8.0,-1.0,40.0,-1.0
scaffold-2,47,,8.0,-1.0,40.0,-1.0
scaffold-2,48,,8.0,-1.0,40.0,-1.0
scaffold-2,49,,8.0,-1.0,40.0,-1.0
scaffold-2,50,,8.0,-1.0,40.0,-1.0
scaffold-2,51,,8.0,-1.0,40.0,-1.0
scaffold-2,52,,8.0,-1.0,40.0,-1.0
scaffold-2,53,,8.0,-1.0,40.0,-1.0
scaffold-2,54,,8.0,-1.0,40.0,-1.0
scaffold-2,55,,8.0,-1.0,40.0,-1.0
scaffold-2,56,,8.0,-1.0,40.0,-1.0
scaffold-2,57,,8.0,-1.0,40.0,-1.0
scaffold-2,58,,8.0,-1.0,40.0,-1.0
scaffold-2,59,,8.0,-1.0,40.0,-1.0
scaffold-2,60,,8.0,-1.0,40.0,-1.0
scaffold-3,2,,1.0,1.3,0.02,-1.0
scaffold-3,4,,1.0,1.3,0.02,-1.0
scaffold-3,5,,1.0,1.3,0.02,-1.0
scaffold-3,6,,1.0,1.3,0.02,-1.0
scaffold-3,8,,1.0,1.3,0.02,-1.0
scaffold-3,9,,1.0,1.3,0.02,-1.0
scaffold-3,10,,1.0,1.3,0.02,-1.0
scaffold-3,11,,1.0,1.3,0.02,-1.0
scaffold-3,12,,1.0,1.3,0.02,-1.0
scaffold-3,13,,1.0,1.3,0.02,-1.0
scaffold-3,15,,1.0,1.3,0.02,-1.0
scaffold-3,16,,1.0,1.3,0.02,-1.0
scaffold-3,17,,1.0,1.3,0.02,-1.0
scaffold-3,18,,1.0,1.3,0.02,-1.0
scaffold-3,19,,1.0,1.3,0.02,-1.0
scaffold-3,20,,1.0,1.3,0.02,-1.0
scaffold-3,21,,1.0,1.3,0.02,-1.0
scaffold-3,22,,1.0,1.3,0.02,-1.0
scaffold-3,23,,1.0,1.3,0.02,-1.0
scaffold-3,24,,1.0,1.3,0.02,-1.0
scaffold-3,25,,1.0,1.3,0.02,-1.0
scaffold-3,26,,1.0,1.3,0.02,-1.0
scaffold-3,27,,1.0,1.3,0.02,-1.0
scaffold-3,28,,1.0,1.3,0.02,-1.0
scaffold-3,29,,1.0,1.3,0.02,-1.0
scaffold-3,30,,1.0,1.3,0.02,-1.0
scaffold-3,31,,1.0,1.3,0.02,-1.0
scaffold-3,32,,1.0,1.3,0.02,-1.0
scaffold-3,33,,1.0,1.3,0.02,-1.0
scaffold-3,34,,1.0,1.3,0.02,-1.0
scaffold-3,35,,1.0,1.3,0.02,-1.0
scaffold-3,36,,1.0,1.3,0.02,-1.0
scaffold-3,37,,1.0,1.3,0.02,-1.0
scaffold-3,38,,1.0,1.3,0.02,-1.0
scaffold-3,39,,1.0,1.3,0.02,-1.0
scaffold-3,40,,1.0,1.3,0.02,-1.0
scaffold-3,41,,1.0,1.3,0.02,-1.0
scaffold-3,42,,1.0,1.3,0.02,-1.0
scaffold-3,43,,1.0,1.3,0.02,-1.0
