Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
15-Zone1,12,55.459,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.25,6.0,1.0,1.0,-1
15-Zone1,14,38.919,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.25,6.0,1.0,1.0,-1
15-Zone3,2,27.243,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.083,6.0,1.0,1.0,-1
15-Zone3,4,39.405,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.083,6.0,1.0,1.0,-1
15-Zone3,6,33.568,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.083,6.0,1.0,1.0,-1
15-Zone3,8,29.676,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.083,6.0,1.0,1.0,-1
15-Zone3,10,27.73,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.083,6.0,1.0,1.0,-1
15-Zone3,12,25.784,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.083,6.0,1.0,1.0,-1
15-Zone3,14,25.297,8.14,2.75,0.4,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,6.0,1.0,-1,-1,,0.083,6.0,1.0,1.0,-1
16-PFPE,2,14.433,27.0,0.5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,1.0,1.0,-1,-1,,25.0,0.52,-1.0,4.0,-1
16-PFPE,3,23.437,27.0,0.5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,1.0,1.0,-1,-1,,25.0,0.52,-1.0,4.0,-1
16-PFPE,4,30.058,27.0,0.5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,1.0,1.0,-1,-1,,25.0,0.52,-1.0,4.0,-1
16-PDMS,2,26.88,27.0,0.5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,1.0,1.0,-1,-1,,25.0,0.52,-1.0,1.0,-1
16-PDMS,3,33.633,27.0,0.5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,1.0,1.0,-1,-1,,25.0,0.52,-1.0,1.0,-1
16-PDMS,4,38.268,27.0,0.5,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,,2,1,1.0,1.0,-1,-1,,25.0,0.52,-1.0,1.0,-1
17-PIC,2,392.473,10.0,0.1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,,2.0,2,1,3.0,,-1,-1,,1.667,,-1.0,1.0,-1
17-PIC,4,180.108,10.0,0.1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,,2.0,2,1,3.0,,-1,-1,,1.667,,-1.0,1.0,-1
17-PIC,6,244.624,10.0,0.1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,,2.0,2,1,3.0,,-1,-1,,1.667,,-1.0,1.0,-1
