Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
6-MePS,5,13.917,8.0,0.7,-1.0,-1.0,14.0,,-1.0,-1.0,1.0,0.008,-1.0,,0.142,1.3,6.9,16.0,,310.0,164,8.0,1.0,1.0,750.0
6-MePS,7,16.727,8.0,0.7,-1.0,-1.0,14.0,,-1.0,-1.0,1.0,0.008,-1.0,,0.142,1.3,6.9,16.0,,310.0,164,8.0,1.0,1.0,750.0
6-MePS,9,21.199,8.0,0.7,-1.0,-1.0,14.0,,-1.0,-1.0,1.0,0.008,-1.0,,0.142,1.3,6.9,16.0,,310.0,164,8.0,1.0,1.0,750.0
6-MePS,11,21.24,8.0,0.7,-1.0,-1.0,14.0,,-1.0,-1.0,1.0,0.008,-1.0,,0.142,1.3,6.9,16.0,,310.0,164,8.0,1.0,1.0,750.0
6-MePS,13,22.501,8.0,0.7,-1.0,-1.0,14.0,,-1.0,-1.0,1.0,0.008,-1.0,,0.142,1.3,6.9,16.0,,310.0,164,8.0,1.0,1.0,750.0
6-MePS,15,22.649,8.0,0.7,-1.0,-1.0,14.0,,-1.0,-1.0,1.0,0.008,-1.0,,0.142,1.3,6.9,16.0,,310.0,164,8.0,1.0,1.0,750.0
6-MePS,17,24.537,8.0,0.7,-1.0,-1.0,14.0,,-1.0,-1.0,1.0,0.008,-1.0,,0.142,1.3,6.9,16.0,,310.0,164,8.0,1.0,1.0,750.0
6-MePS,19,23.181,8.0,0.7,-1.0,-1.0,14.0,,-1.0,-1.0,1.0,0.008,-1.0,,0.142,1.3,6.9,16.0,,310.0,164,8.0,1.0,1.0,750.0
6-MePS,21,22.62,8.0,0.7,-1.0,-1.0,14.0,,-1.0,-1.0,1.0,0.008,-1.0,,0.142,1.3,6.9,16.0,,310.0,164,8.0,1.0,1.0,750.0
7-CF00,7,3.474,8.14,2.5,0.25,-1.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,5.0,6.0,,,,0,1.0,0.5,18.0,25.0
7-CF10,7,8.632,8.14,2.5,0.25,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.008,-1.0,,,5.0,6.0,,,,0,1.0,0.5,18.0,25.0
7-CF01,7,5.056,8.14,2.5,0.25,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.004,-1.0,,,5.0,6.0,,,,0,1.0,0.5,18.0,25.0
7-CF31,7,10.971,8.14,2.5,0.25,-1.0,12.0,8.0,-1.0,-1.0,1.2,0.006,0.002,,,5.0,6.0,,,,0,1.0,0.5,18.0,25.0
8-PVA,2,11.02,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
8-PVA,4,17.347,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
8-PVA,7,39.592,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
8-PVA,11,51.429,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
8-PVA,14,46.327,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
8-PVA,18,44.49,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
8-PVA,21,43.878,5.0,7.5,-1.0,-1.0,6.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,2.0,6.0,78.0,,54.0,0,4.0,1.0,400.0,
9-hexagonal,2,9.119,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.3,,51.3,0,3.0,,,
9-hexagonal,6,38.298,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.3,,51.3,0,3.0,,,
9-hexagonal,9,41.216,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.3,,51.3,0,3.0,,,
9-hexagonal,15,42.31,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.3,,51.3,0,3.0,,,
9-squared,2,4.742,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.6,,77.2,0,3.0,,,
9-squared,6,30.456,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.6,,77.2,0,3.0,,,
9-squared,9,36.474,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.6,,77.2,0,3.0,,,
9-squared,15,39.574,6.0,12.5,-1.0,-1.0,7.0,4.0,-1.0,-1.0,6.0,0.71,-1.0,,,,0.13,66.6,,77.2,0,3.0,,,
10-Hep,1,55.442,1.0,0.2,-1.0,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep,3,46.151,1.0,0.2,-1.0,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep,5,34.763,1.0,0.2,-1.0,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep,7,27.271,1.0,0.2,-1.0,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep,10,12.886,1.0,0.2,-1.0,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep,15,5.394,1.0,0.2,-1.0,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib,1,63.833,1.13,0.2,0.3,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib,3,61.136,1.13,0.2,0.3,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib,5,53.344,1.13,0.2,0.3,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib,7,50.347,1.13,0.2,0.3,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib,10,45.252,1.13,0.2,0.3,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib,15,39.558,1.13,0.2,0.3,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-EC,1,62.334,1.7,0.2,0.15,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-EC,3,57.24,1.7,0.2,0.15,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-EC,5,48.549,1.7,0.2,0.15,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-EC,7,45.552,1.7,0.2,0.15,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-EC,10,42.256,1.7,0.2,0.15,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-EC,15,36.262,1.7,0.2,0.15,-1.0,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib-EC,1,77.918,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib-EC,3,76.42,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib-EC,5,68.927,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib-EC,7,63.233,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib-EC,10,56.94,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
10-Hep-Fib-EC,15,50.647,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1.0,-1.0,-1.0,-1.0,,20.5,,15.0,,,,0,1.0,0.6,20.0,
11-PELA,1,47.028,8.0,4.0,-1.0,-1.0,10.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-PELA,3,30.104,8.0,4.0,-1.0,-1.0,10.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-PELA,5,19.171,8.0,4.0,-1.0,-1.0,10.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-PELA,7,12.581,8.0,4.0,-1.0,-1.0,10.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F1/9,1,49.574,8.0,4.0,-1.0,-1.0,10.11,1.0,9.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F1/9,3,36.993,8.0,4.0,-1.0,-1.0,10.11,1.0,9.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F1/9,5,28.456,8.0,4.0,-1.0,-1.0,10.11,1.0,9.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F1/9,7,24.712,8.0,4.0,-1.0,-1.0,10.11,1.0,9.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F3/7,1,54.816,8.0,4.0,-1.0,-1.0,10.11,3.0,7.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F3/7,3,44.781,8.0,4.0,-1.0,-1.0,10.11,3.0,7.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F3/7,5,35.346,8.0,4.0,-1.0,-1.0,10.11,3.0,7.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F3/7,7,28.007,8.0,4.0,-1.0,-1.0,10.11,3.0,7.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F5/5,1,54.816,8.0,4.0,-1.0,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F5/5,3,51.671,8.0,4.0,-1.0,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F5/5,5,46.878,8.0,4.0,-1.0,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F5/5,7,42.085,8.0,4.0,-1.0,-1.0,10.11,5.0,5.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F7/3,1,56.313,8.0,4.0,-1.0,-1.0,10.11,7.0,3.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F7/3,3,49.574,8.0,4.0,-1.0,-1.0,10.11,7.0,3.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F7/3,5,46.578,8.0,4.0,-1.0,-1.0,10.11,7.0,3.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
