Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Spheroid-Dia,Tethered,Tethered Film,Modification,Flow Rate,Self-assembled
3-MPCC,23,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,24,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,25,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,26,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,28,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,29,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,30,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,31,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,32,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,33,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,34,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,35,,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,36,,6.21,0.1,0.3,,2,-1,-1.0,0,1
