Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
15-Zone3,8,26.615,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.083,6,1,1,-1
15-Zone3,10,24.063,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.083,6,1,1,-1
15-Zone3,12,19.688,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.083,6,1,1,-1
15-Zone3,14,16.406,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.083,6,1,1,-1
16-PFPE,2,0.214,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.52,-1,4,-1
16-PFPE,3,0.163,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.52,-1,4,-1
16-PFPE,4,0.155,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.52,-1,4,-1
16-PDMS,2,0.19,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.52,-1,1,-1
16-PDMS,3,0.159,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.52,-1,1,-1
16-PDMS,4,0.148,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.52,-1,1,-1
17-PIC,2,37.044,10,0.1,-1,-1,-1,-1,-1,-1,-1,,2,2,1,3,,-1,-1,,1.667,,-1,1,-1
17-PIC,4,52.02,10,0.1,-1,-1,-1,-1,-1,-1,-1,,2,2,1,3,,-1,-1,,1.667,,-1,1,-1
17-PIC,6,49.655,10,0.1,-1,-1,-1,-1,-1,-1,-1,,2,2,1,3,,-1,-1,,1.667,,-1,1,-1
17-PIC,8,45.714,10,0.1,-1,-1,-1,-1,-1,-1,-1,,2,2,1,3,,-1,-1,,1.667,,-1,1,-1
17-PIC,12,39.015,10,0.1,-1,-1,-1,-1,-1,-1,-1,,2,2,1,3,,-1,-1,,1.667,,-1,1,-1
17-PIC,14,19.704,10,0.1,-1,-1,-1,-1,-1,-1,-1,,2,2,1,3,,-1,-1,,1.667,,-1,1,-1
1-spheroid,1,,27,1.14,1.14,22,7.9,,15,81.8,-1,,2,2,1,2,1,-1,-1,,3.33,,-1,1.2,-1
1-spheroid,2,,27,1.14,1.14,22,7.9,,15,81.8,-1,,2,2,1,2,1,-1,-1,,3.33,,-1,1.2,-1
1-spheroid,4,,27,1.14,1.14,22,7.9,,15,81.8,-1,,2,2,1,2,1,-1,-1,,3.33,,-1,1.2,-1
1-spheroid,6,,27,1.14,1.14,22,7.9,,15,81.8,-1,,2,2,1,2,1,-1,-1,,3.33,,-1,1.2,-1
2-μTP,1,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
2-μTP,2,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
2-μTP,4,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
2-μTP,6,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
2-μTP,8,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
2-μTP,9,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
2-μTP,11,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
2-μTP,12,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
2-μTP,13,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
4-biochip,1,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
4-biochip,3,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
4-biochip,4,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
4-biochip,6,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
4-biochip,7,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
4-biochip,8,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
4-biochip,10,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
4-biochip,11,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
4-biochip,12,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
5-Dynamic co,1,,8.24,1,0.25,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,-1,-1,,1500,,-1,2,-1
5-Dynamic co,2,,8.24,1,0.25,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,-1,-1,,1500,,-1,2,-1
5-Dynamic mo,4,,8,1,0.25,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,-1,-1,,1500,,-1,2,-1
